2014-01-07 13:52:08,394: (0.165) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 't4qooy4rlc4zsb5100zdy68ubcp8tpc4'  AND `django_session`.`expire_date` > '2014-01-07 13:52:08' ); args=('t4qooy4rlc4zsb5100zdy68ubcp8tpc4', u'2014-01-07 13:52:08')
2014-01-07 13:52:08,570: (0.175) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-01-07 13:52:08,736: (0.165) SELECT `ffos_ffosuser`.`id`, `ffos_ffosuser`.`locale`, `ffos_ffosuser`.`region`, `ffos_ffosuser`.`external_id` FROM `ffos_ffosuser` WHERE `ffos_ffosuser`.`external_id` = '0033597455692156e68dfdc2fc3936595b560834d1a0d68d8606e23779f454e1' ; args=(u'0033597455692156e68dfdc2fc3936595b560834d1a0d68d8606e23779f454e1',)
2014-01-07 13:52:09,069: (0.331) SELECT `recommender_factor`.`id`, `recommender_factor`.`dimension`, `recommender_factor`.`matrix`, `recommender_factor`.`rows`, `recommender_factor`.`columns` FROM `recommender_factor` WHERE `recommender_factor`.`dimension` = 0  ORDER BY `recommender_factor`.`id` DESC LIMIT 1; args=(0,)
2014-01-07 13:52:10,726: (1.656) SELECT `recommender_factor`.`id`, `recommender_factor`.`dimension`, `recommender_factor`.`matrix`, `recommender_factor`.`rows`, `recommender_factor`.`columns` FROM `recommender_factor` WHERE `recommender_factor`.`dimension` = 1  ORDER BY `recommender_factor`.`id` DESC LIMIT 1; args=(1,)
2014-01-07 13:52:10,732: Matrix generated
2014-01-07 13:52:10,916: (0.183) SELECT `ffos_ffosapp`.`id`, `ffos_ffosapp`.`app_type`, `ffos_ffosapp`.`author`, `ffos_ffosapp`.`content_ratings`, `ffos_ffosapp`.`created`, `ffos_ffosapp`.`current_version`, `ffos_ffosapp`.`default_locale`, `ffos_ffosapp`.`description`, `ffos_ffosapp`.`homepage`, `ffos_ffosapp`.`icon_id`, `ffos_ffosapp`.`external_id`, `ffos_ffosapp`.`is_packaged`, `ffos_ffosapp`.`manifest_url`, `ffos_ffosapp`.`name`, `ffos_ffosapp`.`payment_account`, `ffos_ffosapp`.`payment_required`, `ffos_ffosapp`.`price_locale`, `ffos_ffosapp`.`price`, `ffos_ffosapp`.`premium_type`, `ffos_ffosapp`.`privacy_policy`, `ffos_ffosapp`.`public_stats`, `ffos_ffosapp`.`rating_average`, `ffos_ffosapp`.`rating_count`, `ffos_ffosapp`.`resource_uri`, `ffos_ffosapp`.`slug`, `ffos_ffosapp`.`status`, `ffos_ffosapp`.`support_email`, `ffos_ffosapp`.`support_url`, `ffos_ffosapp`.`tags`, `ffos_ffosapp`.`upsell`, `ffos_ffosapp`.`upsold`, `ffos_ffosapp`.`weekly_downloads` FROM `ffos_ffosapp` INNER JOIN `ffos_installation` ON ( `ffos_ffosapp`.`id` = `ffos_installation`.`app_id` ) WHERE `ffos_installation`.`user_id` = 22 ; args=(22,)
2014-01-07 13:52:12,629: (1.710) SELECT DISTINCT `ffos_ffosapp`.`id`, `ffos_ffosapp`.`app_type`, `ffos_ffosapp`.`author`, `ffos_ffosapp`.`content_ratings`, `ffos_ffosapp`.`created`, `ffos_ffosapp`.`current_version`, `ffos_ffosapp`.`default_locale`, `ffos_ffosapp`.`description`, `ffos_ffosapp`.`homepage`, `ffos_ffosapp`.`icon_id`, `ffos_ffosapp`.`external_id`, `ffos_ffosapp`.`is_packaged`, `ffos_ffosapp`.`manifest_url`, `ffos_ffosapp`.`name`, `ffos_ffosapp`.`payment_account`, `ffos_ffosapp`.`payment_required`, `ffos_ffosapp`.`price_locale`, `ffos_ffosapp`.`price`, `ffos_ffosapp`.`premium_type`, `ffos_ffosapp`.`privacy_policy`, `ffos_ffosapp`.`public_stats`, `ffos_ffosapp`.`rating_average`, `ffos_ffosapp`.`rating_count`, `ffos_ffosapp`.`resource_uri`, `ffos_ffosapp`.`slug`, `ffos_ffosapp`.`status`, `ffos_ffosapp`.`support_email`, `ffos_ffosapp`.`support_url`, `ffos_ffosapp`.`tags`, `ffos_ffosapp`.`upsell`, `ffos_ffosapp`.`upsold`, `ffos_ffosapp`.`weekly_downloads` FROM `ffos_ffosapp` WHERE NOT (`ffos_ffosapp`.`id` IN (SELECT U1.`ffosapp_id` FROM `ffos_ffosapp_supported_locales` U1 INNER JOIN `ffos_locale` U2 ON ( U1.`locale_id` = U2.`id` ) WHERE U2.`name` = 'es' )); args=(u'es',)
2014-01-07 13:52:12,800: Filters finished
2014-01-07 13:52:13,021: (0.217) SELECT DISTINCT `ffos_ffosapp`.`id`, `ffos_ffosapp`.`app_type`, `ffos_ffosapp`.`author`, `ffos_ffosapp`.`content_ratings`, `ffos_ffosapp`.`created`, `ffos_ffosapp`.`current_version`, `ffos_ffosapp`.`default_locale`, `ffos_ffosapp`.`description`, `ffos_ffosapp`.`homepage`, `ffos_ffosapp`.`icon_id`, `ffos_ffosapp`.`external_id`, `ffos_ffosapp`.`is_packaged`, `ffos_ffosapp`.`manifest_url`, `ffos_ffosapp`.`name`, `ffos_ffosapp`.`payment_account`, `ffos_ffosapp`.`payment_required`, `ffos_ffosapp`.`price_locale`, `ffos_ffosapp`.`price`, `ffos_ffosapp`.`premium_type`, `ffos_ffosapp`.`privacy_policy`, `ffos_ffosapp`.`public_stats`, `ffos_ffosapp`.`rating_average`, `ffos_ffosapp`.`rating_count`, `ffos_ffosapp`.`resource_uri`, `ffos_ffosapp`.`slug`, `ffos_ffosapp`.`status`, `ffos_ffosapp`.`support_email`, `ffos_ffosapp`.`support_url`, `ffos_ffosapp`.`tags`, `ffos_ffosapp`.`upsell`, `ffos_ffosapp`.`upsold`, `ffos_ffosapp`.`weekly_downloads` FROM `ffos_ffosapp` WHERE NOT (`ffos_ffosapp`.`id` IN (SELECT U1.`ffosapp_id` FROM `ffos_ffosapp_regions` U1 INNER JOIN `ffos_region` U2 ON ( U1.`region_id` = U2.`id` ) WHERE U2.`slug` IN ('worldwide'))); args=('worldwide',)
2014-01-07 13:52:13,031: Re-rankers finished
